Timestamp,Filesystem,Size,Used,Available,Use%,Mounted_on,Inodes_Total,Inodes_Used,Inodes_Free,Inodes_Use%
2025-01-14_15-37-47,/dev/disk1s2,500 MB,6 MB,482 MB,2%,1   4942960    0%   /System/Volumes/xarts,,,,
2025-01-14_15-37-47,/dev/disk1s1,500 MB,5 MB,482 MB,2%,29   4942960    0%   /System/Volumes/iSCPreboot,,,,
2025-01-14_15-37-47,/dev/disk1s3,500 MB,0 MB,482 MB,1%,62   4942960    0%   /System/Volumes/Hardware,,,,
2025-01-14_15-37-47,/dev/disk3s5,233752 MB,184001 MB,22966 MB,89%,2953553 235176560    1%   /System/Volumes/Data,,,,
2025-01-14_15-37-47,map,0 MB,0 MB,0 MB,0,100%       0         0     -   /System/Volumes/Data/home,,,,
2025-01-14_15-37-57,/dev/disk3s1s1,233752 MB,10239 MB,22970 MB,31%,408310 235220600    0%   /,,,,
2025-01-14_15-37-57,devfs,0 MB,0 MB,0 MB,100%,750         0  100%   /dev,,,,
2025-01-14_15-37-57,/dev/disk3s6,233752 MB,9216 MB,22970 MB,29%,9 235220600    0%   /System/Volumes/VM,,,,
2025-01-14_15-37-57,/dev/disk3s2,233752 MB,6264 MB,22970 MB,22%,1110 235220600    0%   /System/Volumes/Preboot,,,,
2025-01-14_15-37-57,/dev/disk3s4,233752 MB,2 MB,22970 MB,1%,50 235220600    0%   /System/Volumes/Update,,,,
2025-01-14_15-37-57,/dev/disk1s2,500 MB,6 MB,482 MB,2%,1   4942960    0%   /System/Volumes/xarts,,,,
2025-01-14_15-37-57,/dev/disk1s1,500 MB,5 MB,482 MB,2%,29   4942960    0%   /System/Volumes/iSCPreboot,,,,
2025-01-14_15-37-57,/dev/disk1s3,500 MB,0 MB,482 MB,1%,62   4942960    0%   /System/Volumes/Hardware,,,,
2025-01-14_15-37-57,/dev/disk3s5,233752 MB,183997 MB,22970 MB,89%,2953554 235220600    1%   /System/Volumes/Data,,,,
2025-01-14_15-37-57,map,0 MB,0 MB,0 MB,0,100%       0         0     -   /System/Volumes/Data/home,,,,
2025-01-14_15-38-07,/dev/disk3s1s1,233752 MB,10239 MB,22970 MB,31%,408310 235217280    0%   /,,,,
2025-01-14_15-38-07,devfs,0 MB,0 MB,0 MB,100%,750         0  100%   /dev,,,,
2025-01-14_15-38-07,/dev/disk3s6,233752 MB,9216 MB,22970 MB,29%,9 235217280    0%   /System/Volumes/VM,,,,
2025-01-14_15-38-07,/dev/disk3s2,233752 MB,6264 MB,22970 MB,22%,1110 235217280    0%   /System/Volumes/Preboot,,,,
2025-01-14_15-38-07,/dev/disk3s4,233752 MB,2 MB,22970 MB,1%,50 235217280    0%   /System/Volumes/Update,,,,
2025-01-14_15-38-07,/dev/disk1s2,500 MB,6 MB,482 MB,2%,1   4942960    0%   /System/Volumes/xarts,,,,
2025-01-14_15-38-07,/dev/disk1s1,500 MB,5 MB,482 MB,2%,29   4942960    0%   /System/Volumes/iSCPreboot,,,,
2025-01-14_15-38-07,/dev/disk1s3,500 MB,0 MB,482 MB,1%,62   4942960    0%   /System/Volumes/Hardware,,,,
2025-01-14_15-38-07,/dev/disk3s5,233752 MB,183998 MB,22970 MB,89%,2953555 235217280    1%   /System/Volumes/Data,,,,
2025-01-14_15-38-07,map,0 MB,0 MB,0 MB,0,100%       0         0     -   /System/Volumes/Data/home,,,,
